Latitude (decimal degrees):	60.169
Longitude (decimal degrees):	24.940
Elevation (m):	14
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230707:1111,771080.0,975.76,51.55,18.23,3.66,0.0
20230707:1211,725100.0,902.74,48.07,18.32,4.55,0.0
20230707:1311,624260.0,766.83,42.58,18.77,5.31,0.0
20230707:1411,494580.0,605.74,35.88,18.69,5.45,0.0
20230707:1511,322560.0,409.11,28.57,18.2,5.1,0.0
20230707:1611,136390.0,208.58,21.13,17.77,4.83,0.0
20230707:1711,41230.0,65.58,13.94,17.0,4.48,0.0
20230707:1811,22350.0,41.1,7.33,16.0,3.66,0.0
20230707:1911,0.0,1.75,1.62,15.38,3.45,0.0
20230707:2011,0.0,0.0,0.0,14.71,3.03,0.0
20230707:2111,0.0,0.0,0.0,13.98,2.69,0.0
20230707:2211,0.0,0.0,0.0,14.1,2.55,0.0
20230707:2311,0.0,0.0,0.0,13.73,2.0,0.0
20230708:0011,0.0,0.0,0.0,13.66,1.86,0.0
20230708:0111,0.0,0.0,0.0,13.46,1.79,0.0
20230708:0211,8850.0,21.86,4.51,13.72,1.79,0.0
20230708:0311,2100.0,10.49,10.75,14.0,1.93,0.0
20230708:0411,7850.0,20.4,17.72,14.75,2.07,0.0
20230708:0511,125720.0,167.13,25.09,15.52,2.21,0.0
20230708:0611,240480.0,302.68,32.51,16.55,2.34,0.0
20230708:0711,349200.0,434.53,39.56,17.72,2.28,0.0
20230708:0811,569220.0,713.85,45.68,18.68,2.62,0.0
20230708:0911,674870.0,853.09,50.16,19.51,3.38,0.0
20230708:1011,155620.0,203.96,52.24,19.06,3.52,0.0
20230708:1111,158150.0,205.82,51.45,18.13,4.28,0.0
20230708:1211,202570.0,258.11,47.98,17.66,3.45,0.0
20230708:1311,212660.0,270.12,42.5,17.83,3.31,0.0
20230708:1411,387870.0,481.29,35.8,18.67,3.31,0.0
20230708:1511,18420.0,36.16,28.49,18.78,4.34,0.0
20230708:1611,90350.0,126.32,21.05,17.38,3.17,0.0
20230708:1711,54620.0,82.2,13.86,17.02,3.38,0.0
20230708:1811,19670.0,37.6,7.25,16.75,3.45,0.0
20230708:1911,0.0,1.75,1.54,16.09,3.45,0.0
20230708:2011,0.0,0.0,0.0,15.59,3.24,0.0
20230708:2111,0.0,0.0,0.0,15.14,3.24,0.0
20230708:2211,0.0,0.0,0.0,14.77,3.66,0.0
20230708:2311,0.0,0.0,0.0,14.41,3.79,0.0
20230709:0011,0.0,0.0,0.0,14.04,3.72,0.0
20230709:0111,0.0,0.0,0.0,13.77,3.72,0.0
20230709:0211,8290.0,20.99,4.39,13.73,3.59,0.0
20230709:0311,2100.0,10.49,10.63,14.31,3.31,0.0
20230709:0411,20170.0,38.01,17.6,14.93,3.86,0.0
20230709:0511,158930.0,207.17,24.97,15.42,3.93,0.0
20230709:0611,225560.0,282.37,32.39,15.92,4.28,0.0
20230709:0711,156640.0,201.81,39.44,15.87,4.69,0.0
20230709:0811,208370.0,261.63,45.56,15.88,5.38,0.0
20230709:0911,423350.0,516.1,50.04,16.16,4.55,0.0
20230709:1011,218260.0,274.11,52.13,15.61,3.59,0.0
20230709:1111,262440.0,327.53,51.34,16.33,3.1,0.0
20230709:1211,212290.0,270.18,47.88,17.4,2.41,0.0
20230709:1311,237760.0,300.54,42.42,17.95,2.69,0.0
20230709:1411,118680.0,159.46,35.72,17.92,2.83,0.0
20230709:1511,107710.0,146.53,28.41,17.95,2.69,0.0
20230709:1611,73620.0,105.91,20.97,17.71,2.28,0.0
20230709:1711,56640.0,84.82,13.78,17.12,1.93,0.0
20230709:1811,19010.0,36.73,7.16,16.77,1.72,0.0
20230709:1911,0.0,0.87,1.44,15.21,1.45,0.0
20230709:2011,0.0,0.0,0.0,13.41,1.1,0.0
20230709:2111,0.0,0.0,0.0,11.95,1.38,0.0
20230709:2211,0.0,0.0,0.0,11.5,1.66,0.0
20230709:2311,0.0,0.0,0.0,11.02,2.0,0.0
20230710:0011,0.0,0.0,0.0,10.38,2.07,0.0
20230710:0111,0.0,0.0,0.0,9.44,1.24,0.0
20230710:0211,7900.0,20.11,4.27,9.67,0.97,0.0
20230710:0311,39570.0,62.09,10.51,10.85,1.72,0.0
20230710:0411,85660.0,133.48,17.48,12.4,1.52,0.0
20230710:0511,221500.0,291.58,24.85,14.2,1.59,0.0
20230710:0611,391820.0,487.09,32.27,15.75,1.86,0.0
20230710:0711,413040.0,511.7,39.31,16.81,2.07,0.0
20230710:0811,618700.0,778.04,45.43,18.0,2.48,0.0
20230710:0911,713490.0,913.31,49.92,19.18,2.62,0.0
20230710:1011,783540.0,1017.83,52.0,19.64,2.55,0.0
20230710:1111,497710.0,629.07,51.23,20.07,2.34,0.0
20230710:1211,486870.0,617.06,47.77,20.31,2.0,0.0
20230710:1311,146200.0,195.05,42.32,20.51,1.38,0.0
20230710:1411,426310.0,543.62,35.63,20.64,1.17,0.0
20230710:1511,223730.0,291.88,28.33,20.32,1.17,0.0
20230710:1611,124380.0,175.66,20.89,20.4,1.79,0.0
20230710:1711,38500.0,62.96,13.69,19.82,1.93,0.0
20230710:1811,21340.0,40.23,7.07,18.91,2.14,0.0
20230710:1911,0.0,0.87,1.34,16.53,2.14,0.0
20230710:2011,0.0,0.0,0.0,14.95,2.0,0.0
20230710:2111,0.0,0.0,0.0,13.76,1.93,0.0
20230710:2211,0.0,0.0,0.0,12.84,2.21,0.0
20230710:2311,0.0,0.0,0.0,12.42,2.55,0.0
20230711:0011,0.0,0.0,0.0,11.97,2.48,0.0
20230711:0111,0.0,0.0,0.0,11.48,1.79,0.0
20230711:0211,7260.0,19.24,4.14,11.26,1.31,0.0
20230711:0311,39330.0,62.09,10.38,11.95,1.24,0.0
20230711:0411,70460.0,126.06,17.36,14.06,0.83,0.0
20230711:0511,231440.0,312.79,24.73,16.07,0.83,0.0
20230711:0611,417260.0,526.82,32.15,17.78,1.38,0.0
20230711:0711,566790.0,713.39,39.19,18.84,2.14,0.0
20230711:0811,682090.0,866.91,45.3,19.37,2.69,0.0
20230711:0911,752840.0,968.51,49.78,19.58,2.76,0.0
20230711:1011,786530.0,1015.46,51.87,20.06,3.1,0.0
20230711:1111,769280.0,992.39,51.11,20.08,2.97,0.0
20230711:1211,715960.0,912.88,47.66,19.81,3.03,0.0
20230711:1311,619630.0,784.35,42.22,19.69,2.48,0.0
20230711:1411,476070.0,597.79,35.54,19.35,2.21,0.0
20230711:1511,304090.0,390.18,28.24,19.03,2.97,0.0
20230711:1611,127790.0,178.98,20.8,18.49,3.45,0.0
20230711:1711,41680.0,66.46,13.6,17.97,3.24,0.0
20230711:1811,18980.0,36.73,6.97,17.16,2.55,0.0
20230711:1911,0.0,0.0,0.0,16.0,2.34,0.0
20230711:2011,0.0,0.0,0.0,14.37,2.21,0.0
20230711:2111,0.0,0.0,0.0,13.27,2.14,0.0
20230711:2211,0.0,0.0,0.0,12.69,2.41,0.0
20230711:2311,0.0,0.0,0.0,12.09,2.34,0.0
20230712:0011,0.0,0.0,0.0,11.5,2.07,0.0
20230712:0111,0.0,0.0,0.0,10.7,1.72,0.0
20230712:0211,6740.0,18.36,4.0,10.56,2.07,0.0
20230712:0311,16890.0,33.23,10.25,12.12,1.38,0.0
20230712:0411,73070.0,127.77,17.22,14.13,0.62,0.0
20230712:0511,230130.0,312.17,24.6,16.25,0.34,0.0
20230712:0611,413530.0,527.69,32.01,18.14,0.62,0.0
20230712:0711,559070.0,719.21,39.05,19.4,0.83,0.0
20230712:0811,673020.0,878.64,45.17,20.29,1.31,0.0
20230712:0911,747650.0,987.82,49.65,20.87,1.66,0.0
20230712:1011,776240.0,1030.51,51.74,21.3,1.86,0.0
20230712:1111,761580.0,1013.22,50.98,21.73,1.72,0.0
20230712:1211,711370.0,937.51,47.55,22.04,1.72,0.0
20230712:1311,611150.0,795.84,42.11,22.29,1.45,0.0
20230712:1411,478450.0,613.97,35.44,22.41,1.66,0.0
20230712:1511,315610.0,414.51,28.14,22.39,2.0,0.0
20230712:1611,134620.0,208.4,20.7,21.7,2.28,0.0
20230712:1711,39680.0,64.71,13.49,20.81,2.28,0.0
20230712:1811,17480.0,34.98,6.86,19.58,2.55,0.0
20230712:1911,0.0,0.0,0.0,17.43,2.62,0.0
20230712:2011,0.0,0.0,0.0,15.13,2.48,0.0
20230712:2111,0.0,0.0,0.0,13.2,2.0,0.0
20230712:2211,0.0,0.0,0.0,12.3,1.59,0.0
20230712:2311,0.0,0.0,0.0,11.51,1.66,0.0
20230713:0011,0.0,0.0,0.0,11.06,1.79,0.0
20230713:0111,0.0,0.0,0.0,10.55,1.86,0.0
20230713:0211,0.0,0.0,0.0,10.23,1.66,0.0
20230713:0311,1690.0,9.62,10.11,12.04,0.55,0.0
20230713:0411,83860.0,130.14,17.09,14.58,0.21,0.0
20230713:0511,226160.0,308.8,24.46,17.48,0.55,0.0
20230713:0611,404760.0,518.22,31.88,19.77,0.97,0.0
20230713:0711,548740.0,707.44,38.92,21.23,1.17,0.0
20230713:0811,658090.0,860.67,45.02,22.07,1.59,0.0
20230713:0911,725390.0,956.31,49.5,22.46,2.0,0.0
20230713:1011,754500.0,1003.07,51.59,22.82,2.0,0.0
20230713:1111,730470.0,965.85,50.84,23.1,2.14,0.0
20230713:1211,537580.0,688.13,47.42,23.01,2.69,0.0
20230713:1311,244010.0,314.12,42.0,22.74,3.24,0.0
20230713:1411,135620.0,182.21,35.33,21.92,4.14,0.0
20230713:1511,179940.0,235.54,28.04,21.22,4.55,0.0
20230713:1611,60760.0,90.86,20.6,20.42,4.48,0.0
20230713:1711,35830.0,59.46,13.39,19.86,4.21,0.0
20230713:1811,18780.0,36.73,6.75,19.18,4.0,0.0
20230713:1911,0.0,0.0,0.0,18.16,4.0,0.0
20230713:2011,0.0,0.0,0.0,17.05,4.21,0.0
20230713:2111,0.0,0.0,0.0,15.98,4.34,0.0
20230713:2211,0.0,0.0,0.0,14.81,4.07,0.0
20230713:2311,0.0,0.0,0.0,14.03,3.52,0.0
20230714:0011,0.0,0.0,0.0,13.28,3.1,0.0
20230714:0111,0.0,0.0,0.0,12.77,2.83,0.0
20230714:0211,6650.0,18.36,3.71,12.75,2.69,0.0
20230714:0311,10030.0,23.61,9.97,13.56,2.83,0.0
20230714:0411,65670.0,120.92,16.95,15.14,3.31,0.0
20230714:0511,208350.0,276.08,24.32,16.7,3.1,0.0
20230714:0611,375620.0,468.65,31.74,17.79,2.76,0.0
20230714:0711,540410.0,674.56,38.77,19.08,2.83,0.0
20230714:0811,650840.0,818.9,44.88,19.95,3.52,0.0
20230714:0911,726820.0,921.14,49.35,20.36,4.0,0.0
20230714:1011,765910.0,980.23,51.45,20.7,3.79,0.0
20230714:1111,749740.0,958.09,50.7,21.29,4.0,0.0
20230714:1211,672420.0,846.46,47.29,20.88,4.34,0.0
20230714:1311,512340.0,635.09,41.88,20.11,4.41,0.0
20230714:1411,446350.0,553.11,35.22,20.12,4.55,0.0
20230714:1511,278240.0,357.96,27.93,20.87,4.41,0.0
20230714:1611,132090.0,201.7,20.49,20.74,4.0,0.0
20230714:1711,50280.0,77.83,13.27,20.13,3.79,0.0
20230714:1811,18800.0,36.73,6.63,19.02,3.79,0.0
20230714:1911,0.0,0.0,0.0,17.95,3.86,0.0
20230714:2011,0.0,0.0,0.0,16.57,4.07,0.0
20230714:2111,0.0,0.0,0.0,15.58,3.86,0.0
20230714:2211,0.0,0.0,0.0,14.83,4.0,0.0
20230714:2311,0.0,0.0,0.0,14.33,3.72,0.0
20230715:0011,0.0,0.0,0.0,13.86,3.45,0.0
20230715:0111,0.0,0.0,0.0,13.4,3.1,0.0
20230715:0211,6090.0,17.49,3.56,13.2,2.76,0.0
20230715:0311,34150.0,55.97,9.82,13.66,2.41,0.0
20230715:0411,71470.0,122.69,16.8,14.93,2.14,0.0
20230715:0511,214200.0,285.89,24.18,16.43,2.34,0.0
20230715:0611,397730.0,497.06,31.6,17.92,2.62,0.0
20230715:0711,553760.0,690.62,38.63,19.29,3.1,0.0
20230715:0811,668260.0,845.7,44.73,20.52,3.38,0.0
20230715:0911,733230.0,939.25,49.2,21.41,3.59,0.0
20230715:1011,756950.0,972.8,51.29,21.81,3.86,0.0
20230715:1111,751250.0,963.76,50.55,22.3,4.14,0.0
20230715:1211,700740.0,892.64,47.16,22.54,4.21,0.0
20230715:1311,600770.0,756.79,41.75,22.79,4.41,0.0
20230715:1411,478630.0,601.38,35.1,22.95,4.48,0.0
20230715:1511,298900.0,388.73,27.81,22.96,4.48,0.0
20230715:1611,129950.0,204.68,20.37,22.45,4.34,0.0
20230715:1711,36880.0,61.21,13.15,21.47,3.93,0.0
20230715:1811,16810.0,34.1,6.5,20.15,3.93,0.0
20230715:1911,0.0,0.0,0.0,18.4,3.72,0.0
20230715:2011,0.0,0.0,0.0,16.7,3.66,0.0
20230715:2111,0.0,0.0,0.0,15.28,3.1,0.0
20230715:2211,0.0,0.0,0.0,14.43,3.17,0.0
20230715:2311,0.0,0.0,0.0,13.52,3.1,0.0
20230716:0011,0.0,0.0,0.0,12.74,2.62,0.0
20230716:0111,0.0,0.0,0.0,12.14,2.14,0.0
20230716:0211,5590.0,16.61,3.41,12.17,2.14,0.0
20230716:0311,1260.0,8.74,9.67,13.34,1.72,0.0
20230716:0411,72050.0,121.62,16.66,15.32,1.31,0.0
20230716:0511,104560.0,143.02,24.03,17.47,2.14,0.0
20230716:0611,284490.0,358.38,31.45,19.0,3.1,0.0
20230716:0711,522110.0,649.05,38.47,19.99,3.72,0.0
20230716:0811,637490.0,799.25,44.57,20.94,4.28,0.0
20230716:0911,726110.0,919.9,49.04,21.73,4.69,0.0
20230716:1011,758590.0,965.08,51.13,22.65,5.24,0.0
20230716:1111,703400.0,891.81,50.4,23.24,5.45,0.0
20230716:1211,489970.0,614.76,47.01,23.61,5.59,0.0
20230716:1311,564780.0,707.61,41.62,23.58,5.59,0.0
20230716:1411,371050.0,466.48,34.97,23.31,5.38,0.0
20230716:1511,174690.0,231.35,27.69,23.19,4.48,0.0
20230716:1611,77320.0,112.65,20.25,22.47,3.93,0.0
20230716:1711,49810.0,77.83,13.03,21.93,3.52,0.0
20230716:1811,11320.0,26.23,6.37,21.2,3.79,0.0
20230716:1911,0.0,0.0,0.0,20.0,3.86,0.0
20230716:2011,0.0,0.0,0.0,18.71,3.72,0.0
20230716:2111,0.0,0.0,0.0,18.13,3.72,0.0
20230716:2211,0.0,0.0,0.0,17.81,3.45,0.0
20230716:2311,0.0,0.0,0.0,17.3,3.59,0.0
20230717:0011,0.0,0.0,0.0,16.66,4.0,0.0
20230717:0111,0.0,0.0,0.0,16.18,3.72,0.0
20230717:0211,4950.0,15.74,3.25,15.71,3.24,0.0
20230717:0311,1230.0,8.74,9.52,16.2,4.28,0.0
20230717:0411,79380.0,117.24,16.5,17.2,4.62,0.0
20230717:0511,199750.0,265.97,23.88,18.18,4.55,0.0
20230717:0611,389030.0,482.91,31.29,19.17,5.1,0.0
20230717:0711,552700.0,679.74,38.32,20.02,5.59,0.0
20230717:0811,521260.0,641.62,44.41,20.46,6.28,0.0
20230717:0911,663430.0,822.03,48.87,20.73,6.55,0.0
20230717:1011,560110.0,694.28,50.96,20.87,6.0,0.0
20230717:1111,765580.0,955.85,50.24,20.79,6.48,0.0
20230717:1211,561220.0,690.28,46.86,20.47,6.83,0.0
20230717:1311,603720.0,740.64,41.48,20.59,7.03,0.0
20230717:1411,486000.0,596.31,34.84,20.43,6.97,0.0
20230717:1511,312330.0,398.33,27.56,20.04,6.62,0.0
20230717:1611,130830.0,196.89,20.12,19.8,6.14,0.0
20230717:1711,40800.0,65.58,12.9,19.18,5.38,0.0
20230717:1811,16990.0,34.1,6.23,18.31,5.03,0.0
20230717:1911,0.0,0.0,0.0,17.27,4.83,0.0
20230717:2011,0.0,0.0,0.0,16.66,4.83,0.0
20230717:2111,0.0,0.0,0.0,16.41,5.38,0.0
20230717:2211,0.0,0.0,0.0,16.25,5.17,0.0
20230717:2311,0.0,0.0,0.0,15.46,4.69,0.0
20230718:0011,0.0,0.0,0.0,15.21,4.41,0.0
20230718:0111,0.0,0.0,0.0,14.84,4.34,0.0
20230718:0211,4470.0,14.87,3.09,14.62,4.34,0.0
20230718:0311,16680.0,33.23,9.36,14.8,4.28,0.0
20230718:0411,79290.0,122.43,16.35,15.42,4.9,0.0
20230718:0511,177730.0,233.43,23.73,16.2,4.0,0.0
20230718:0611,341040.0,422.07,31.14,17.22,4.14,0.0
20230718:0711,467100.0,570.79,38.16,17.77,4.76,0.0
20230718:0811,427310.0,522.35,44.24,17.94,5.38,0.0
20230718:0911,646700.0,795.52,48.7,18.48,5.72,0.0
20230718:1011,747600.0,936.02,50.79,19.29,5.03,0.0
20230718:1111,788770.0,986.28,50.07,19.07,5.38,0.0
20230718:1211,734760.0,902.33,46.71,19.21,7.1,0.0
20230718:1311,637150.0,778.03,41.34,19.22,6.76,0.0
20230718:1411,281390.0,349.41,34.7,18.89,6.76,0.0
20230718:1511,241580.0,307.11,27.43,18.79,6.48,0.0
20230718:1611,125380.0,176.78,19.98,17.87,6.14,0.0
20230718:1711,44050.0,69.08,12.76,17.07,5.72,0.0
20230718:1811,15920.0,32.35,6.09,16.32,4.76,0.0
20230718:1911,0.0,0.0,0.0,15.67,4.21,0.0
20230718:2011,0.0,0.0,0.0,14.75,3.79,0.0
20230718:2111,0.0,0.0,0.0,14.23,3.59,0.0
20230718:2211,0.0,0.0,0.0,13.96,3.79,0.0
20230718:2311,0.0,0.0,0.0,13.53,3.45,0.0
20230719:0011,0.0,0.0,0.0,13.16,3.17,0.0
20230719:0111,0.0,0.0,0.0,12.77,3.24,0.0
20230719:0211,4020.0,13.99,2.92,12.5,3.03,0.0
20230719:0311,19420.0,36.73,9.19,12.84,2.62,0.0
20230719:0411,6720.0,18.54,16.18,13.82,2.83,0.0
20230719:0511,146560.0,192.71,23.57,15.22,3.38,0.0
20230719:0611,400830.0,496.31,30.98,16.54,3.1,0.0
20230719:0711,528950.0,654.86,37.99,17.81,2.97,0.0
20230719:0811,575230.0,719.14,44.07,18.6,2.9,0.0
20230719:0911,635430.0,801.04,48.52,19.31,3.17,0.0
20230719:1011,572970.0,718.59,50.61,19.63,3.45,0.0
20230719:1111,442610.0,552.2,49.9,19.66,3.38,0.0
20230719:1211,617920.0,775.46,46.55,19.88,3.66,0.0
20230719:1311,345960.0,430.86,41.19,20.27,4.55,0.0
20230719:1411,145830.0,191.16,34.56,18.08,4.21,0.0
20230719:1511,282600.0,359.83,27.29,18.06,3.86,0.0
20230719:1611,129040.0,198.05,19.84,18.19,3.93,0.0
20230719:1711,50920.0,77.83,12.61,17.55,3.45,0.0
20230719:1811,15880.0,32.35,5.94,16.68,3.79,0.0
20230719:1911,0.0,0.0,0.0,15.57,3.38,0.0
20230719:2011,0.0,0.0,0.0,14.62,3.38,0.0
20230719:2111,0.0,0.0,0.0,13.73,3.31,0.0
20230719:2211,0.0,0.0,0.0,13.11,2.83,0.0
20230719:2311,0.0,0.0,0.0,12.23,2.28,0.0
20230720:0011,0.0,0.0,0.0,11.97,2.55,0.0
20230720:0111,0.0,0.0,0.0,12.12,3.1,0.0
20230720:0211,3050.0,12.24,2.74,12.35,3.24,0.0
20230720:0311,1270.0,8.74,9.02,13.05,2.9,0.0
20230720:0411,6700.0,18.54,16.02,14.21,2.48,0.0
20230720:0511,101830.0,138.54,23.4,15.35,1.86,0.0
20230720:0611,288840.0,359.62,30.81,16.39,2.97,0.0
20230720:0711,544590.0,670.42,37.83,17.47,3.52,0.0
20230720:0811,669050.0,834.68,43.9,17.89,3.45,0.0
20230720:0911,748400.0,940.11,48.34,17.86,3.79,0.0
20230720:1011,791290.0,1000.72,50.43,18.24,3.93,0.0
20230720:1111,728090.0,906.48,49.72,18.12,4.76,0.0
20230720:1211,449940.0,551.21,46.38,17.82,4.83,0.0
